Year,Month,Active Customers,No of Bills,No of Payments,Billing Index,Collection Index,Bill Amount (NGN),Collection Amount (NGN),Collection Efficiency,KwH CONSUMPTION,CSP CODE,SUPERVISOR CODE
2017,Apr,186,1242,263,6.677419355,0.211755233,3771280.83,790650,0.209650258,172860,CSP085,SUP028
2016,Nov,1346,1288,371,0.956909361,0.288043478,3226735.29,677090,0.209837479,157485,CSP064,SUP020
2018,Mar,3918,3914,1283,0.998979071,0.327797649,8308630.99,1745820,0.210121258,349133,CSP155,SUP229
2017,May,523,357,207,0.682600382,0.579831933,3385295.55,712600,0.210498608,143037,CSP091,SUP335
2017,Aug,870,1261,697,1.449425287,0.552735924,8240152.47,1737250,0.21082741,346932,CSP115,SUP240
2017,Feb,1918,2673,1427,1.393639208,0.533857089,8243642.51,1738330,0.210869163,365526,CSP127,SUP137
2016,Aug,852,988,387,1.159624413,0.391700405,2770083.23,585780,0.21146657,134818,CSP095,SUP250
2017,Nov,2529,2534,1404,1.001977066,0.55406472,10299104.58,2180420,0.211709667,404550,CSP010,SUP076
2017,Feb,2121,3284,1176,1.548326261,0.358099878,8845323.85,1880650,0.212615166,385109,CSP003,SUP183
2017,Jun,1372,1017,341,0.741253644,0.335299902,4828243.29,1030535,0.213438913,205438,CSP040,SUP104
2017,Nov,1303,861,415,0.660782809,0.481997677,2763317.9,589850,0.213457163,122628,CSP117,SUP196
2016,Oct,842,245,144,0.290973872,0.587755102,1060806.46,226500,0.213516799,50596,CSP040,SUP104
2017,Dec,1540,1423,675,0.924025974,0.474349965,8856849.81,1891430,0.213555614,378380,CSP076,SUP174
2017,Jul,2336,2600,1283,1.113013699,0.493461538,11064332.9,2369900,0.21419276,471470,CSP009,SUP012
2018,Apr,5100,2239,786,0.439019608,0.351049576,11087029.43,2375450,0.214254866,482850,CSP136,SUP292
2017,Mar,417,1742,495,4.177458034,0.284156142,11848865.68,2541525,0.214495216,488982,CSP121,SUP186
2017,Dec,1024,1810,1007,1.767578125,0.556353591,9306742.28,1998200,0.214704559,412326,CSP133,SUP200
2017,Jun,438,507,139,1.157534247,0.274161736,2799094.2,601700,0.214962397,103612,CSP159,SUP096
2018,Apr,1654,1909,944,1.154171705,0.494499738,5771417.11,1240930,0.215013051,260762,CSP060,SUP018
2017,Jan,1512,2040,564,1.349206349,0.276470588,5250754.32,1129120,0.215039579,253722,CSP146,SUP166
2018,Apr,3501,2377,1234,0.678948872,0.519141775,11335589.47,2443880,0.215593552,494883,CSP087,SUP252
2017,Nov,717,2113,624,2.947001395,0.295314718,7719042.41,1665400,0.215752151,326100,CSP154,SUP228
2018,Apr,2434,1605,966,0.659408381,0.601869159,7234549.03,1575100,0.217719169,300113,CSP097,SUP194
2017,Jan,469,1052,332,2.243070362,0.315589354,1891193.33,411870,0.217783128,99373,CSP158,SUP045
2016,Dec,786,601,212,0.764631043,0.352745424,1204692.9,262500,0.217897856,60400,CSP060,SUP309
2016,Aug,1918,3043,944,1.586548488,0.310220177,4691654.51,1022340,0.217906071,230726,CSP127,SUP137
2017,Mar,852,1014,643,1.190140845,0.634122288,4913853.31,1082850,0.220366774,215624,CSP095,SUP250
2017,Dec,991,1277,711,1.288597376,0.556773688,9872555.49,2181546.29,0.22097078,411699,CSP147,SUP216
2018,Mar,2637,2331,1584,0.883959044,0.67953668,11142159.8,2463480,0.221095375,489761,CSP127,SUP069
2016,Nov,797,733,225,0.919698871,0.306957708,2429783.54,537274.69,0.221120392,116879,CSP013,SUP303
2017,Jan,415,1077,318,2.595180723,0.295264624,4704173.64,1040260,0.221135545,231464,CSP085,SUP028
2016,Oct,331,113,24,0.341389728,0.212389381,553612.16,122500,0.221274041,24182,CSP138,SUP288
2017,Mar,453,838,200,1.849889625,0.238663484,2431072.1,538070,0.221330334,103822,CSP162,SUP112
2018,Jan,1982,1212,481,0.611503532,0.396864686,8745534.2,1936200,0.221392994,370820,CSP040,SUP054
2017,Jul,1398,984,484,0.703862661,0.491869919,7940902.63,1760875,0.221747461,298702,CSP041,SUP239
2016,Oct,453,801,377,1.768211921,0.470661673,3664801.09,814140,0.222151211,173844,CSP162,SUP112
2017,Jul,3564,3573,2165,1.002525253,0.605933389,11955543.61,2656235,0.222176012,528002,CSP137,SUP230
2016,Nov,605,911,328,1.505785124,0.360043908,1442556.8,320950,0.222486907,80200,CSP075,SUP217
